fidx,alpha,embedding,kernel_index,kernel_id,dilation,threshold,triplet_str,kernel_str
172,-0.004566166,0.037071567,65,K65,4,-0.403797978,3|4|6,"[-1,-1,-1,2,2,-1,2,-1,-1]"
173,0.00063637,0.46817523,81,K81,4,0.134988194,5|6|8,"[-1,-1,-1,-1,-1,2,2,-1,2]"
174,9.65E-05,0.78891796,3,K03,16,0.417792369,0|1|5,"[2,2,-1,-1,-1,2,-1,-1,-1]"
175,0.000558121,0.33157218,52,K52,96,0.157551085,2|3|7,"[-1,-1,2,2,-1,-1,-1,2,-1]"
176,-0.000446003,0.54732704,56,K56,192,0.21980971,2|4|7,"[-1,-1,2,-1,2,-1,-1,2,-1]"
177,-0.002445279,0.99910116,39,K39,48,-0.055683613,1|4|5,"[-1,2,-1,-1,2,2,-1,-1,-1]"
178,0.000292806,0.27691543,28,K28,96,-0.200050318,1|2|3,"[-1,2,2,2,-1,-1,-1,-1,-1]"
179,-0.001304957,0.62875587,76,K76,64,0.149162088,4|5|8,"[-1,-1,-1,-1,2,2,-1,-1,2]"
180,-0.000328177,1.06E-14,78,K78,32,-0.247318613,4|6|8,"[-1,-1,-1,-1,2,-1,2,-1,2]"
181,9.90E-06,0.51580787,9,K09,1,-0.335715639,0|2|5,"[2,-1,2,-1,-1,2,-1,-1,-1]"
182,-0.002719669,0.77751815,79,K79,1,-0.179819109,4|7|8,"[-1,-1,-1,-1,2,-1,-1,2,2]"
183,-0.003036228,0.109091826,25,K25,16,0.268161756,0|6|7,"[2,-1,-1,-1,-1,-1,2,2,-1]"
184,-0.000462651,0.6798549,12,K12,32,0.10784146,0|2|8,"[2,-1,2,-1,-1,-1,-1,-1,2]"
185,-0.003674003,0.049087543,12,K12,256,-0.038933241,0|2|8,"[2,-1,2,-1,-1,-1,-1,-1,2]"
186,0.000673369,0.42416042,36,K36,64,-0.23453136,1|3|6,"[-1,2,-1,2,-1,-1,2,-1,-1]"
187,0.000444224,0.58750015,27,K27,32,-0.20492674,0|7|8,"[2,-1,-1,-1,-1,-1,-1,2,2]"
188,0.003320073,0.2951501,74,K74,64,0.093493872,4|5|6,"[-1,-1,-1,-1,2,2,2,-1,-1]"
189,0.000307937,0.5762774,66,K66,128,-0.003703742,3|4|7,"[-1,-1,-1,2,2,-1,-1,2,-1]"
190,-1.00E-06,1,72,K72,48,-0.167018484,3|6|8,"[-1,-1,-1,2,-1,-1,2,-1,2]"
191,0.000115189,0.400828,12,K12,8,0.281386401,0|2|8,"[2,-1,2,-1,-1,-1,-1,-1,2]"
192,0.000835186,0.6185345,34,K34,128,-0.141109405,1|3|4,"[-1,2,-1,2,2,-1,-1,-1,-1]"
193,0.001859621,0.1566779,63,K63,192,-0.367411156,2|7|8,"[-1,-1,2,-1,-1,-1,-1,2,2]"
194,0.00033424,0.5145632,3,K03,2,-0.049724247,0|1|5,"[2,2,-1,-1,-1,2,-1,-1,-1]"
195,0.001645846,0.8972127,50,K50,16,0.260797632,2|3|5,"[-1,-1,2,2,-1,2,-1,-1,-1]"
196,0.002199694,0.24765334,11,K11,32,0.173988372,0|2|7,"[2,-1,2,-1,-1,-1,-1,2,-1]"
197,-0.000519028,0.547713,27,K27,4,0.225595062,0|7|8,"[2,-1,-1,-1,-1,-1,-1,2,2]"
198,-0.004367456,0.005689926,7,K07,192,-0.18370971,0|2|3,"[2,-1,2,2,-1,-1,-1,-1,-1]"
199,0.002105423,0.314208,71,K71,1,0.110298047,3|6|7,"[-1,-1,-1,2,-1,-1,2,2,-1]"
200,-0.000583236,0.6956511,42,K42,2,0.037276775,1|4|8,"[-1,2,-1,-1,2,-1,-1,-1,2]"
201,0.005036422,0.18043494,3,K03,1,-0.05304901,0|1|5,"[2,2,-1,-1,-1,2,-1,-1,-1]"
202,-0.001489514,0.60794777,34,K34,256,-0.265363535,1|3|4,"[-1,2,-1,2,2,-1,-1,-1,-1]"
203,-0.005523485,0.94828165,20,K20,16,0.293580544,0|4|7,"[2,-1,-1,-1,2,-1,-1,2,-1]"
204,-0.004340801,0.06947253,47,K47,96,0.027686347,1|6|8,"[-1,2,-1,-1,-1,-1,2,-1,2]"
205,-0.000495587,0.6293515,42,K42,192,-0.126566477,1|4|8,"[-1,2,-1,-1,2,-1,-1,-1,2]"
206,0.000674405,0.0834893,60,K60,192,0.176846121,2|5|8,"[-1,-1,2,-1,-1,2,-1,-1,2]"
207,0.003354707,0.30770987,33,K33,4,0.598460419,1|2|8,"[-1,2,2,-1,-1,-1,-1,-1,2]"
208,-0.000178094,0.55017173,77,K77,192,-0.353369243,4|6|7,"[-1,-1,-1,-1,2,-1,2,2,-1]"
209,6.98E-05,0.4540183,32,K32,32,0.061015267,1|2|7,"[-1,2,2,-1,-1,-1,-1,2,-1]"
210,0.000566399,0.548806,34,K34,48,0.427558103,1|3|4,"[-1,2,-1,2,2,-1,-1,-1,-1]"
211,-0.002602183,0.98376924,83,K83,192,0.431496955,6|7|8,"[-1,-1,-1,-1,-1,-1,2,2,2]"
212,7.57E-07,0.46929732,82,K82,128,-0.245855484,5|7|8,"[-1,-1,-1,-1,-1,2,-1,2,2]"
213,0.000619954,0.64588803,46,K46,256,-0.129345648,1|6|7,"[-1,2,-1,-1,-1,-1,2,2,-1]"
214,-0.000514013,0.30069542,12,K12,16,-0.489149108,0|2|8,"[2,-1,2,-1,-1,-1,-1,-1,2]"
215,6.24E-05,0.5004551,55,K55,128,-0.015475053,2|4|6,"[-1,-1,2,-1,2,-1,2,-1,-1]"
216,0.003121621,0.828253,60,K60,2,-0.378938137,2|5|8,"[-1,-1,2,-1,-1,2,-1,-1,2]"
217,0.003556896,0.3752369,38,K38,8,-0.265838241,1|3|8,"[-1,2,-1,2,-1,-1,-1,-1,2]"
218,-0.000490901,0.60027933,13,K13,128,0.317845783,0|3|4,"[2,-1,-1,2,2,-1,-1,-1,-1]"
219,-0.000646442,2.94E-09,16,K16,64,-0.3016135,0|3|7,"[2,-1,-1,2,-1,-1,-1,2,-1]"
220,0.000162565,0.47264445,29,K29,96,-0.438424931,1|2|4,"[-1,2,2,-1,2,-1,-1,-1,-1]"
221,0.001443572,0.5866098,8,K08,4,-0.009659844,0|2|4,"[2,-1,2,-1,2,-1,-1,-1,-1]"
